network,n_nodes,n_edges,status_assortativity,status_coverage,major_assortativity,major_coverage,degree_assortativity,degree_coverage,dorm_coverage,dorm_assortativity,gender_coverage,gender_assortativity
Vassar85,3068,119161,,0.0,,0.0,0.10078144349335603,1.0,1.0,0.19516868272567203,1.0,0.005983318446377356
Vermont70,7322,191220,,0.0,,0.0,0.07719751848418223,1.0,1.0,0.19865465125398574,1.0,0.005117497289281788
Villanova62,7755,314980,,0.0,,0.0,0.06121983021853878,1.0,1.0,0.1763005479467,1.0,0.08243098841424237
Virginia63,21319,698175,,0.0,,0.0,-0.016074486395657533,1.0,1.0,0.11855125328976142,1.0,0.05618498775950475
Wake73,5366,279186,,0.0,,0.0,0.07090875548774574,1.0,1.0,0.17847692123631023,1.0,0.10482120828504371
WashU32,7730,367526,,0.0,,0.0,0.04040080728335174,1.0,1.0,0.12863887767520224,1.0,0.07916083466240749
Wellesley22,2970,94899,,0.0,,0.0,0.06425328627689918,1.0,1.0,0.10228736377950816,1.0,0.022813704518305576
Wesleyan43,3591,138034,,0.0,,0.0,0.09506348914928048,1.0,1.0,0.11036671136385881,1.0,0.03164105997408494
William77,6472,266378,,0.0,,0.0,0.05160144749219283,1.0,1.0,0.15775664215561722,1.0,0.09441362345344896
Williams40,2788,112985,,0.0,,0.0,0.04034804768240832,1.0,1.0,0.12054338554633884,1.0,0.05727221327907362
Wisconsin87,23831,835946,,0.0,,0.0,-0.0035421110135009704,1.0,1.0,0.21733474879475556,1.0,0.039834095139947144
Yale4,8561,405440,,0.0,,0.0,0.0186038480198277,1.0,1.0,0.221295821167607,1.0,0.031111202764101197
